,property_title,url,address,listing_class,plan_name,bedrooms,bathrooms,unit,price,size_sqft
105,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-170,2556.0,775.0
106,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-172,2556.0,775.0
107,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",E,1,1,Main-138,2579.0,775.0
108,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",F,1,1,Main-274,2545.0,799.0
109,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",F,1,1,Main-474,2592.0,799.0
110,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",F,1,1,Main-636,2624.0,799.0
111,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",G,1,1,Main-408,2584.0,835.0
112,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",G,1,1,Main-434,2584.0,835.0
113,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",G,1,1,Main-566,2644.0,835.0
114,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",I,2,2,Main-641,3198.0,1095.0
115,Hanover Tysons,https://www.apartments.com/hanover-tysons-mclean-va/hrnxep0/,"1500 Westbranch Dr, McLean, VA 22102","['placard', 'placard-option-diamond', 'has-header', 'js-diamond']",I,2,2,Main-649,3198.0,1095.0
