"","X","Accees.to.Care","Education","Employment.Access","Labor.Force.Participation","Population.Density","Walkability","Spatial.Segregation","Income.Inequality","Affordability","Environmental","Food.Access","Townsend","Incarceration","Mobility","geoid"
"161",161,0.885,0.623,0.008,0.556,0.001,0.112,0.437,0.342,0.316,0.773,0.313,0.834,0.880712877819613,0.138,51143010301
"162",162,0.864,0.633,0.157,0.618,0.091,0.729,0.462,0.216,0.622,0.517,0.882,0.446,0.794544015250924,0.285,51760060400
"163",163,0.872,0.688,0.135,0.78,0.049,0.777,0.905,0.483,0.674,0.617,0.992,0.791,1.03843173459045,0.292,51153901403
"164",164,0.89,0.665,0.117,0.722,0.061,0.534,0.838,0.496,0.654,0.596,0.956,0.611,0.96138031006348,0.215,51153901419
"165",165,0.87,0.594,0.115,0.789,0.26,0.652,0.831,0.5,0.654,0.61,0.997,0.533,0.963543725047481,0.173,51059421701
"166",166,0.896,0.773,0.302,0.825,0.225,0.819,0.9,0.479,0.675,0.442,0.954,0.585,1.02006262650791,0.258,51510200408
"167",167,0.898,0.713,0.338,0.705,0.039,0.838,0.731,0.323,0.601,0.236,0.983,0.712,0.875254934362109,0.662,51760040201
"168",168,0.911,0.636,0.082,0.684,0.069,0.7,0.575,0.335,0.569,0.675,0.964,0.74,0.927540150995216,0.22,51740212801
"169",169,0.915,0.741,0.318,0.844,0.25,0.726,0.894,0.515,0.696,0.462,0.997,0.719,1.03922201482271,0.434,51510200500
"170",170,0.916,0.653,0.265,0.629,0.064,0.678,0.4,0.372,0.559,0.452,0.587,0.658,0.830172750706118,0.098,51760011000
"171",171,0.853,0.591,0.11,0.803,0.119,0.458,0.725,0.444,0.675,0.596,0.985,0.67,0.95044709506693,0.259,51107610505
"172",172,0.946,0.719,0.078,0.739,0.03,0.952,0.562,0.266,0.622,0.618,0.456,0.568,0.811985455628108,0.559,51680000500
"173",173,0.89,0.708,0.084,0.835,0.155,0.568,0.544,0.51,0.548,0.705,0.987,0.703,0.975224398402637,0.517,51810044005
"174",174,0.97,0.832,0.315,0.786,0.117,0.826,0.725,0.692,0.622,0.58,1,0.731,1.05691713948292,0.289,51059481101
"175",175,0.931,0.714,0.108,0.66,0.013,0.435,0.771,0.427,0.64,0.677,0.528,0.818,0.951749131157043,0.487,51153901102
"176",176,0.898,0.669,0.16,0.68,0.039,0.654,0.725,0.496,0.569,0.661,0.856,0.698,0.94519388475154,0.436,51810040200
"177",177,0.865,0.683,0.092,0.713,0.097,0.737,0.719,0.373,0.527,0.624,0.862,0.667,0.946822639231339,0.36,51660000101
"178",178,0.874,0.586,0.05,0.656,0.004,0.597,0.428,0.376,0.511,0.647,0.673,0.777,0.867739966434468,0.172,51009010505
"179",179,0.864,0.645,0.082,0.708,0.048,0.43,0.481,0.402,0.569,0.598,0.883,0.63,0.881680466295899,0.277,51760070803
"180",180,0.927,0.67,0.336,0.757,0.166,0.616,0.856,0.386,0.664,0.491,0.972,0.628,0.973366246942268,0.133,51059451501
"181",181,0.884,0.606,0.048,0.679,0.06,0.378,0.338,0.398,0.59,0.7,0.833,0.489,0.797658887081306,0.429,51800065401
"182",182,0.898,0,0.108,0.637,0.081,0.7,0.313,0.375,0.601,0.489,0.241,0.589,0.500298633973975,0.139,51760021200
