"","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Mobility","geoid","Incarceration"
"1873",0.949,0.722,0.025,0.657,0.003,0.168,0.443,0.42,0.523,0.722,0.702,0.938,0.87,"51179010503",0.908599115095568
"1874",0.957,0.75,0.03,0.585,0.008,0.248,0.671,0.467,0.447,0.717,0.833,0.91,0.69,"51179010217",0.970518010387816
"1875",0.979,0.781,0.047,0.594,0.029,0.315,0.278,0.447,0.329,0.747,0.974,0.901,0.832,"51161030701",0.915125660412853
"1876",0.993,0.785,0.041,0.752,0.066,0.246,0.639,0.701,0.495,0.698,0.974,0.915,0.838,"51179010213",1.01043454827913
"1877",0.991,0.874,0.251,0.773,0.07,0.33,0.709,0.625,0.399,0.633,0.995,0.964,0.864,"51059481105",1.0696174961265
"1878",0.956,0.733,0.112,0.706,0.126,0.675,0.842,0.561,0.47,0.681,0.992,0.845,0.788,"51810046018",1.01374102972037
"1879",0.919,0.678,0.016,0.642,0.004,0.129,0.095,0.542,0.385,0.83,0.687,0.889,0.845,"51015071102",0.858828221254607
"1880",0.982,0.785,0.057,0.721,0.009,0.255,0.671,0.473,0.374,0.708,0.99,0.932,0.948,"51107610602",0.985010044134034
"1881",0.966,0.726,0.027,0.476,0.003,0.145,0.266,0.395,0.318,0.736,0.646,0.928,0.784,"51161030502",0.858064335636207
"1882",0.964,0.759,0.012,0.684,0.001,0.211,0.266,0.364,0.408,0.794,0.613,0.902,0.91,"51003011201",0.877504283932184
"1883",0.988,0.871,0.079,0.579,0.007,0.229,0.19,0.342,0.048,0.657,0.849,0.942,0.962,"51087200108",0.892112731261684
"1884",0.968,0.685,0.101,0.668,0.067,0.493,0.709,0.567,0.461,0.701,0.957,0.885,0.819,"51650010312",0.965063597695024
"1885",0.979,0.737,0.041,0.781,0.051,0.349,0.551,0.637,0.425,0.716,0.929,0.936,0.818,"51041101011",0.980247939699804
