"","CT2","FIPS","Geographic Area Name","Tpop","Accees to Care","Education","Employment Access","Labor Force Participation","Population Density","Walkability","Spatial Segregation","Income Inequality","Affordability","Environmental","Food Access","Townsend","Incarceration","Mobility","County","LifeExpectancy"
"117","51730811300",0.869,"Census Tract 8113, Petersburg city, Virginia",0.2,0.921,0.358,0.049,0.556,0.025,0.958,0.62,0.5,0.75,0.643,0.503,0.525,0.679,0.696,"Petersburg city",0.331
"118","51153900203",0.181,"Census Tract 9002.03, Prince William County, Virginia",0.28,0.885,0.349,0.092,0.762,0.085,0.511,0.701,0.748,0.737,0.707,0.897,0.525,0.951,0.834,"Prince William County",0.676
"119","51710004002",0.845,"Census Tract 40.02, Norfolk city, Virginia",0.209,0.97,0.717,0.247,0.699,0.084,0.853,0.96,0.352,0.566,0.608,1,0.526,0.969,0.735,"Norfolk city",0.642
"120","51550020500",0.654,"Census Tract 205, Chesapeake city, Virginia",0.128,0.855,0.34,0.09,0.78,0.009,0.263,0.8,0.641,0.579,0.659,0.988,0.526,0.802,0.717,"Chesapeake city",0.287
"121","51059421500",0.069,"Census Tract 4215, Fairfax County, Virginia",0.498,0.834,0.396,0.131,0.669,0.112,0.842,0.596,0.607,0.776,0.707,0.994,0.526,0.955,0.909,"Fairfax County",0.645
"122","51710006400",0.845,"Census Tract 64, Norfolk city, Virginia",0.183,0.951,0.491,0.15,0.655,0.032,0.537,0.625,0.568,0.605,0.689,0.852,0.529,0.653,0.925,"Norfolk city",0.48
"123","51510201602",0.607,"Census Tract 2016.02, Alexandria city, Virginia",0.176,0.946,0.726,0.39,0.859,0.235,0.463,0.953,0.787,0.671,0.583,0.991,0.53,0.938,0.681,"Alexandria city",0.699
"124","51700032123",0.833,"Census Tract 321.23, Newport News city, Virginia",0.307,0.91,0.491,0.03,0.799,0.032,0.826,0.774,0.586,0.592,0.758,0.676,0.53,0.905,0.844,"Newport News city",0.581
"125","51153900602",0.181,"Census Tract 9006.02, Prince William County, Virginia",0.249,0.874,0.387,0.084,0.777,0.084,0.721,0.803,0.631,0.75,0.711,0.814,0.53,0.921,0.853,"Prince William County",0.527
"126","51710006501",0.845,"Census Tract 65.01, Norfolk city, Virginia",0.159,0.919,0.519,0.049,0.797,0.058,0.511,0.968,0.505,0.618,0.759,0.921,0.53,0.769,0.797,"Norfolk city",0.53
